Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Freezer 33 PENTA,,Y,30,10,13,50,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33_Penta,ARCTIC Freezer 33 PENTA
CPU Cooler - Air,ARCTIC,Freezer 33 Plus,,Y,35,12,13,30,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33_Plus,ARCTIC Freezer 33 Plus
CPU Cooler - Air,ARCTIC,Freezer 33 TR (Red),,Y,58,19,18,1,1.0,,,Air Cooler,,80.0,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM4, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM4, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR,ARCTIC Freezer 33 TR (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White),,Y,58,19,18,1,1.0,,,Air Cooler,,80.0,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM4, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM4, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White)
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White) 2X,Y,Y,116,38,18,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White) 2X,Y,Y,116,38,18,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,"SP3r1 (2P), SP3r2 (2P), SP6 (2P),",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White) 4X,Y,Y,232,76,18,95,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White) 8X,Y,Y,464,152,23,35,,,,Air Cooler,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White) 8X
CPU Cooler - Air,ARCTIC,Freezer 34,,Y,30,10,7,30,1.7,PC,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189,",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34,ARCTIC Freezer 34
CPU Cooler - Air,ARCTIC,Freezer 34 2X,Y,Y,60,20,16,1,,,,Air Cooler,,106.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34,ARCTIC Freezer 34 2X
CPU Cooler - Air,ARCTIC,Freezer 34 4X,Y,Y,120,40,18,95,,,,Air Cooler,,212.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34,ARCTIC Freezer 34 4X
CPU Cooler - Air,ARCTIC,Freezer 34 8X,Y,Y,240,80,23,35,,,,Air Cooler,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34,ARCTIC Freezer 34 8X
CPU Cooler - Air,ARCTIC,Freezer 34 CO,,Y,30,10,7,30,1.7,PC,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_CO,ARCTIC Freezer 34 CO
CPU Cooler - Air,ARCTIC,Freezer 34 CO 2X,Y,Y,60,20,16,1,,,,Air Cooler,,106.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_CO,ARCTIC Freezer 34 CO 2X
CPU Cooler - Air,ARCTIC,Freezer 34 CO 4X,Y,Y,120,40,18,95,,,,Air Cooler,,212.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_CO,ARCTIC Freezer 34 CO 4X
CPU Cooler - Air,ARCTIC,Freezer 34 CO 8X,Y,Y,240,80,23,35,,,,Air Cooler,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_CO,ARCTIC Freezer 34 CO 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Full White),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_FullWhite,ARCTIC Freezer 34 eSports (Full White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Full White) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_FullWhite,ARCTIC Freezer 34 eSports (Full White) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Full White) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_FullWhite,ARCTIC Freezer 34 eSports (Full White) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Full White) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_FullWhite,ARCTIC Freezer 34 eSports (Full White) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Green),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Green,ARCTIC Freezer 34 eSports (Green)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Green) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Green,ARCTIC Freezer 34 eSports (Green) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Green) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Green,ARCTIC Freezer 34 eSports (Green) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Green) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Green,ARCTIC Freezer 34 eSports (Green) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Grey),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Grey,ARCTIC Freezer 34 eSports (Grey)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Grey) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Grey,ARCTIC Freezer 34 eSports (Grey) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Grey) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Grey,ARCTIC Freezer 34 eSports (Grey) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Grey) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Grey,ARCTIC Freezer 34 eSports (Grey) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Red),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Red,ARCTIC Freezer 34 eSports (Red)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Red) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Red,ARCTIC Freezer 34 eSports (Red) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Red) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Red,ARCTIC Freezer 34 eSports (Red) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Red) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Red,ARCTIC Freezer 34 eSports (Red) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (White),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_White,ARCTIC Freezer 34 eSports (White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (White) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_White,ARCTIC Freezer 34 eSports (White) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (White) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_White,ARCTIC Freezer 34 eSports (White) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (White) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_White,ARCTIC Freezer 34 eSports (White) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Yellow),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Yellow,ARCTIC Freezer 34 eSports (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Yellow) 2X,Y,Y,70,24,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Yellow,ARCTIC Freezer 34 eSports (Yellow) 2X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Yellow) 4X,Y,Y,140,48,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Yellow,ARCTIC Freezer 34 eSports (Yellow) 4X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Yellow) 8X,Y,Y,280,96,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Yellow,ARCTIC Freezer 34 eSports (Yellow) 8X
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (All white),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_AllWHITE,ARCTIC Freezer 34 eSports DUO (All white)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Green),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_GREEN,ARCTIC Freezer 34 eSports DUO (Green)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Grey),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_GREY,ARCTIC Freezer 34 eSports DUO (Grey)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Red),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_RED,ARCTIC Freezer 34 eSports DUO (Red)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (White),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_WHITE,ARCTIC Freezer 34 eSports DUO (White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Yellow),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_YELLOW,ARCTIC Freezer 34 eSports DUO (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 50,,Y,85,28,28,60,1.11,,RGB,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",165,,,,3.25,,,v1_11_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_50,ARCTIC Freezer 50
CPU Cooler - Air,ARCTIC,Freezer 50 TR,,Y,70,23,22,1,1.8,PC,RGB,Air Cooler,,100.0,,,,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,"TR4, sTRX4,","TR4, sTRX4, SP3r1, SP3r2,",165,,,,3.0,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_50TR,ARCTIC Freezer 50 TR
CPU Cooler - Air,ARCTIC,Freezer 50 TR 2X,Y,Y,140,46,22,1,,,RGB,Air Cooler,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,"SP3r1 (2P), SP3r2 (2P), SP6 (2P),",165,,,,3.0,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_50TR,ARCTIC Freezer 50 TR 2X
CPU Cooler - Air,ARCTIC,Freezer A13 X,,Y,40,31,1,60,1.12,,,Air Cooler,,40.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",137,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_AA13_X_MS,ARCTIC Freezer A13 X
CPU Cooler - Air,ARCTIC,Freezer A13 X 2X,Y,,80,62,16,1,,,,Air Cooler,,80.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",137,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_AA13_X_MS,ARCTIC Freezer A13 X 2X
