Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Freezer 50,,Y,85,28,28,60,1.11,,RGB,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",165,,,,3.25,,,v1_11_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_50,ARCTIC Freezer 50,ARCTIC Freezer 50
CPU Cooler - Air,ARCTIC,Freezer 50 TR,,Y,70,23,22,1,1.8,PC,RGB,Air Cooler,,100.0,,,,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,"TR4, sTRX4,","TR4, sTRX4, SP3r1, SP3r2,",165,,,,3.0,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_50TR,ARCTIC Freezer 50 TR,ARCTIC Freezer 50 TR
CPU Cooler - Air,ARCTIC,Freezer A13 X,,Y,40,31,1,60,1.12,,,Air Cooler,,40.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",137,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_AA13_X_MS,ARCTIC Freezer A13 X,ARCTIC Freezer A13 X
CPU Cooler - Air,ARCTIC,Freezer A13 X CO,,Y,45,31,1,60,1.12,,,Air Cooler,,45.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",137,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_AA13_X_CO,ARCTIC Freezer A13 X CO,ARCTIC Freezer A13 X CO
CPU Cooler - Air,ARCTIC,Freezer Xtreme,,Y,170,57,30,1,1.15,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",140,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_Arctic_Freezer_Xtreme,ARCTIC Freezer Xtreme,ARCTIC Freezer Xtreme
CPU Cooler - Air,be quiet!,Dark Rock 4,,Y,75,25,28,60,1.1,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",160,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_DARKROCK4,be quiet! Dark Rock 4,be quiet! Dark Rock 4
CPU Cooler - Air,be quiet!,Dark Rock Pro 4,,Y,90,30,28,60,1.1,,,Air Cooler,,110.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",163,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_DARKROCKPRO4,be quiet! Dark Rock Pro 4,be quiet! Dark Rock Pro 4
CPU Cooler - Air,be quiet!,Dark Rock Pro TR4,,Y,90,30,28,60,1.1,,,Air Cooler,,110.0,,,,,,Y,Y,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,"TR4, sTRX4,","TR4, sTRX4, SP3r1, SP3r2, SP6,",163,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_DARKROCKPROTR4,be quiet! Dark Rock Pro TR4,be quiet! Dark Rock Pro TR4
CPU Cooler - Air,be quiet!,Dark Rock Slim,,Y,60,20,21,70,1.8,,,Air Cooler,,90.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",159,,,,,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_Bequiet_DARKROCK_SLIM,be quiet! Dark Rock Slim,be quiet! Dark Rock Slim
CPU Cooler - Air,be quiet!,Dark Rock TF,,Y,85,28,28,60,1.1,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",131,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_DARKROCKTF,be quiet! Dark Rock TF,be quiet! Dark Rock TF
CPU Cooler - Air,be quiet!,Dark Rock TF 2,,Y,160,53,22,1,1.15,,,Air Cooler,,90.0,Y,Y,Y,Y,Y,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",134,,,,,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Bequiet/AC_Bequiet_Dark_Rock_TF_2,be quiet! Dark Rock TF 2,be quiet! Dark Rock TF 2
CPU Cooler - Air,be quiet!,Pure Rock,,Y,30,10,27,40,1.1,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",155,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_PUREROCK,be quiet! Pure Rock,be quiet! Pure Rock
CPU Cooler - Air,be quiet!,Pure Rock 2 (Black),,Y,45,15,21,70,1.8,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",155,,,,,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_Bequiet_PUREROCK_2_Black,be quiet! Pure Rock 2 (Black),be quiet! Pure Rock 2 (Black)
CPU Cooler - Air,be quiet!,Pure Rock 2 (Silver),,Y,45,15,21,70,1.8,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",155,,,,,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_Bequiet_PUREROCK_2,be quiet! Pure Rock 2 (Silver),be quiet! Pure Rock 2 (Silver)
CPU Cooler - Air,be quiet!,Pure Rock Slim,,Y,25,8,27,40,1.1,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",125,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_PUREROCKSLIM,be quiet! Pure Rock Slim,be quiet! Pure Rock Slim
CPU Cooler - Air,be quiet!,Shadow Rock 2,,Y,50,17,23,30,1.1,,,Air Cooler,,105.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",160,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_SHADOWROCK2,be quiet! Shadow Rock 2,be quiet! Shadow Rock 2
CPU Cooler - Air,be quiet!,Shadow Rock 3,,Y,45,15,21,70,1.8,,,Air Cooler,,110.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",163,,,,,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_SHADOWROCK_3,be quiet! Shadow Rock 3,be quiet! Shadow Rock 3
CPU Cooler - Air,be quiet!,Shadow Rock LP,,Y,45,15,23,30,1.1,,,Air Cooler,,45.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",76,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_SHADOWROCKLP,be quiet! Shadow Rock LP,be quiet! Shadow Rock LP
CPU Cooler - Air,be quiet!,Shadow Rock Slim,,Y,50,17,23,30,1.1,,,Air Cooler,,70.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",161,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_SHADOWROCKSLIM,be quiet! Shadow Rock Slim,be quiet! Shadow Rock Slim
CPU Cooler - Air,be quiet!,Shadow Rock TF 2,,Y,45,15,23,30,1.1,,,Air Cooler,,50.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",112,,,,,,,Prefabs/CoolingSystems/AirCoolers/Bequiet/AC_bequiet_SHADOWROCKTF2,be quiet! Shadow Rock TF 2,be quiet! Shadow Rock TF 2
CPU Cooler - Air,Cooler Master,Hyper 212 Black,,Y,45,15,33,1,1.15,PC,,Air Cooler,,42.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",158,,,,2.9,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/CoolerMaster/AC_Cooler_Master_Hyper_212_Black_Edition_1_FAN,Cooler Master Hyper 212 Black,Cooler Master Hyper 212 Black
CPU Cooler - Air,Cooler Master,Hyper 212 Black Dual Fan Edition,,Y,55,18,33,1,1.15,PC,,Air Cooler,,57.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",158,,,,2.9,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/CoolerMaster/AC_Cooler_Master_Hyper_212_Black_Edition_2_FAN,Cooler Master Hyper 212 Black Dual Fan Edition,Cooler Master Hyper 212 Black Dual Fan Edition
CPU Cooler - Air,Cooler Master,Hyper 212 EVO V2,,Y,50,17,33,1,1.15,PC,,Air Cooler,,50.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",155,,,,2.52,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/CoolerMaster/AC_Cooler_Master_Hyper_212_EVO_V2,Cooler Master Hyper 212 EVO V2,Cooler Master Hyper 212 EVO V2
CPU Cooler - Air,Cooler Master,Hyper 212 LED Turbo,,Y,45,15,8,33,1.0,,Red,Air Cooler,,66.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",163,,,,1.7,,,Prefabs/CoolingSystems/AirCoolers/CoolerMaster/CoolerMaster_Hyper_212_LED,Cooler Master Hyper 212 LED Turbo,Cooler Master Hyper 212 LED Turbo
CPU Cooler - Air,Cooler Master,Hyper 212 LED Turbo (White Edition),,Y,45,15,8,33,1.10,PC,White,Air Cooler,,66.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",163,,,,1.7,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/CoolerMaster/AC_CoolerMaster_Hyper_212_LED_Turbo_WhiteEdition,Cooler Master Hyper 212 LED Turbo (White Edition),Cooler Master Hyper 212 LED Turbo (White Edition)
CPU Cooler - Air,Cooler Master,Hyper 212 RGB Black Dual Fan Edition,,Y,60,20,33,1,1.15,PC,RGB,Air Cooler,,57.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",159,,,,2.0,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/CoolerMaster/AC_Cooler_Master_Hyper_212_RGB_Black_Edition_FAN_2,Cooler Master Hyper 212 RGB Black Dual Fan Edition,Cooler Master Hyper 212 RGB Black Dual Fan Edition
CPU Cooler - Air,Cooler Master,Hyper 212 RGB Black Edition,,Y,50,17,33,1,1.15,PC,RGB,Air Cooler,,42.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",159,,,,2.0,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/CoolerMaster/AC_Cooler_Master_Hyper_212_RGB_Black_Edition_FAN_1,Cooler Master Hyper 212 RGB Black Edition,Cooler Master Hyper 212 RGB Black Edition
CPU Cooler - Air,Cooler Master,MasterAir MA610P,,Y,70,23,8,66,1.0,,RGB,Air Cooler,,53.38,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, SP3r1, SP3r2, SP6,",166,,,,1.65,,,Prefabs/CoolingSystems/AirCoolers/CoolerMaster/CoolerMaster_MasterAirMA610P,Cooler Master MasterAir MA610P,Cooler Master MasterAir MA610P
CPU Cooler - Air,Cooler Master,MasterAir Pro 4,,Y,50,17,7,26,1.0,,,Air Cooler,,66.7,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",159,,,,2.34,,,Prefabs/CoolingSystems/AirCoolers/CoolerMaster/CoolerMaster_MasterAir_Pro_4,Cooler Master MasterAir Pro 4,Cooler Master MasterAir Pro 4
CPU Cooler - Air,CORSAIR,A500 Dual Fan,,Y,100,33,21,1,1.8,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",169,,,,1.25,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Corsair/AC_Corsair_A500_DualFan,CORSAIR A500 Dual Fan,CORSAIR A500 Dual Fan
CPU Cooler - Air,Cryorig,C1,,Y,65,22,13,25,1.0,,,Air Cooler,,65.0,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3,",74,,,,1.49,,,Prefabs/CoolingSystems/AirCoolers/Cryorig/C1,Cryorig C1,Cryorig C1
CPU Cooler - Air,Cryorig,C7,,Y,30,10,4,50,1.0,,,Air Cooler,,40.5,Y,Y,Y,Y,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",47,,,,2.8,,,Prefabs/CoolingSystems/AirCoolers/Cryorig/C7,Cryorig C7,Cryorig C7
CPU Cooler - Air,Cryorig,C7 RGB,,Y,70,23,4,50,1.10,,RGB,Air Cooler,,40.5,Y,Y,Y,Y,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",47,,,,2.8,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Cryorig/AC_Cryorig_C7_RGB,Cryorig C7 RGB,Cryorig C7 RGB
CPU Cooler - Air,Cryorig,H5 Ultimate,,Y,45,15,7,80,1.0,,,Air Cooler,,76.0,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3,",160,,,,1.44,,,Prefabs/CoolingSystems/AirCoolers/Cryorig/H5_Ultimate,Cryorig H5 Ultimate,Cryorig H5 Ultimate
CPU Cooler - Air,Cryorig,H5 Universal,,Y,45,15,7,10,1.0,,,Air Cooler,,65.0,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",160,,,,1.49,,,Prefabs/CoolingSystems/AirCoolers/Cryorig/H5_Universal,Cryorig H5 Universal,Cryorig H5 Universal
CPU Cooler - Air,Cryorig,H7,,Y,35,12,4,78,1.0,,,Air Cooler,,49.0,Y,Y,Y,Y,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,"AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","AM3+, AM4, FM2, FM2+, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",145,,,,1.65,,,Prefabs/CoolingSystems/AirCoolers/Cryorig/H7,Cryorig H7,Cryorig H7
