Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Is DLC,Lighting,Size,Mini-ITX,Micro-ATX,S-ATX,E-ATX,XL-ATX,SSI-EEB,PSU ATX,PSU SFX,Max 120mm Radiators,Max 140mm Radiators,Max PSU length,Max GPU length,Max CPU Fan Height,Exclude From Random Jobs,Use For WC Jobs,DLC Epic Id,Is Open Bench,Case Fan Type 1 Count,Case Fan Type 1 Model,Case Fan Type 1 Decorator,Case Fan Type 2 Count,Case Fan Type 2 Model,Case Fan Type 2 Decorator,Case Fan Type 3 Count,Case Fan Type 3 Model,Case Fan Type 3 Decorator,Restricted GPU length,Inherent Cooling,Price of Case Fans,Price of Case Without Case Fans,DLC2 Random Jobs,Asset Path,Full Part Name
Case,Cooler Master,MasterBox NR200P (Orange Window),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Orange,Cooler Master MasterBox NR200P (Orange Window),Cooler Master MasterBox NR200P (Orange Window)
Case,Cooler Master,MasterBox NR200P (Orange),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Orange_grid,Cooler Master MasterBox NR200P (Orange),Cooler Master MasterBox NR200P (Orange)
Case,Cooler Master,MasterBox NR200P (Pink Window),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Pink,Cooler Master MasterBox NR200P (Pink Window),Cooler Master MasterBox NR200P (Pink Window)
Case,Cooler Master,MasterBox NR200P (Pink),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Pink_grid,Cooler Master MasterBox NR200P (Pink),Cooler Master MasterBox NR200P (Pink)
Case,Cooler Master,MasterBox NR200P (Purple Menu),,,0,0,1,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,-60,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Purple_MENU,Cooler Master MasterBox NR200P (Purple Menu),Cooler Master MasterBox NR200P (Purple Menu)
Case,Cooler Master,MasterBox NR200P (Purple Window),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Purple,Cooler Master MasterBox NR200P (Purple Window),Cooler Master MasterBox NR200P (Purple Window)
Case,Cooler Master,MasterBox NR200P (Purple),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Purple_grid,Cooler Master MasterBox NR200P (Purple),Cooler Master MasterBox NR200P (Purple)
Case,Cooler Master,MasterBox NR200P (Sakura Window),,Y,330,110,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,270,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_CoolerMaster_MasterBox_NR200P_SAKURA_LIMITED_EDITION,Cooler Master MasterBox NR200P (Sakura Window),Cooler Master MasterBox NR200P (Sakura Window)
Case,Cooler Master,MasterBox NR200P (Sakura),,Y,330,110,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,270,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_CoolerMaster_MasterBox_NR200P_SAKURA_LIMITED_EDITION_GRID,Cooler Master MasterBox NR200P (Sakura),Cooler Master MasterBox NR200P (Sakura)
Case,Cooler Master,MasterBox NR200P (White Window),,Y,130,43,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,70,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_White,Cooler Master MasterBox NR200P (White Window),Cooler Master MasterBox NR200P (White Window)
Case,Cooler Master,MasterBox NR200P (White),,Y,130,43,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,70,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_White_grid,Cooler Master MasterBox NR200P (White),Cooler Master MasterBox NR200P (White)
Case,Cooler Master,MasterCase H500P,,Y,150,50,3,1,1.0,,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,412,190,,Y,,,1,Mortoni Heat Away 140,,2.0,Cooler Master MasterCase H500P 200mm RGB,,,,,,0.0,27,123,,Prefabs/Cases/CoolerMaster/Cosmos_H500P_Case,Cooler Master MasterCase H500P,Cooler Master MasterCase H500P
Case,Cooler Master,MasterCase Maker 5 MSI Dragon Edition,,Y,250,83,15,20,1.0,,,White,Mid Tower,Y,Y,Y,,,,Y,,2,2,250.0,412,190,,Y,,,3,Mortoni Heat Away 140,,,,,,,,296.0,0.0,21,229,Exclude,Prefabs/Cases/CoolerMaster/CM_MasterCase_Maker_5_MSI_Dragon_Edition,Cooler Master MasterCase Maker 5 MSI Dragon Edition,Cooler Master MasterCase Maker 5 MSI Dragon Edition
Case,Cooler Master,MasterCase Maker 5t,,Y,180,60,8,1,1.0,,,Red,Mid Tower,Y,Y,Y,,,,Y,,2,2,200.0,412,190,,Y,,,2,Mortoni Heat Away 140,,,,,,,,296.0,0.0,14,166,Exclude,Prefabs/Cases/CoolerMaster/CM_MasterCase_Maker_5t,Cooler Master MasterCase Maker 5t,Cooler Master MasterCase Maker 5t
Case,Cooler Master,MasterFrame 700 (Bench Mode),,Y,700,233,34,20,1.13,PC,,,Full Tower,Y,Y,Y,Y,Y,Y,Y,,3,3,210.0,500,200,Y,,,Y,0,,,,,,,,,,0.7,0,700,Exclude,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_Cooler_Master_MasterFrame_700_BenchMode,Cooler Master MasterFrame 700 (Bench Mode),Cooler Master MasterFrame 700 (Bench Mode)
Case,Cooler Master,MasterFrame 700 (Showcase Mode),,Y,700,233,34,20,1.13,PC,,,Full Tower,Y,Y,Y,Y,Y,Y,Y,,3,3,210.0,450,158,Y,Y,,,0,,,,,,,,,,0.0,0,700,,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_Cooler_Master_MasterFrame_700,Cooler Master MasterFrame 700 (Showcase Mode),Cooler Master MasterFrame 700 (Showcase Mode)
Case,Cooler Master,Silencio S400,,Y,115,38,31,30,1.13,PC,,,Micro,Y,Y,,,,,Y,,2,2,140.0,319,166,Y,Y,,,2,Cooler Master SILENCIO FP 120 PWM,,,,,,,,,0.0,60,55,,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_CoolerMaster_Silencio_S400,Cooler Master Silencio S400,Cooler Master Silencio S400
Case,Cooler Master,Silencio S400 - Window,,Y,130,43,31,30,1.13,PC,,,Micro,Y,Y,,,,,Y,,2,2,140.0,319,166,Y,Y,,,2,Cooler Master SILENCIO FP 120 PWM,,,,,,,,,0.0,60,70,,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_CoolerMaster_Silencio_S400_GlassSwap,Cooler Master Silencio S400 - Window,Cooler Master Silencio S400 - Window
Case,Cooler Master,Silencio S600,,Y,130,43,31,30,1.13,PC,,,Mid Tower,Y,Y,Y,,,,Y,,2,2,180.0,398,166,,Y,,,2,Cooler Master SILENCIO FP 120 PWM,,,,,,,,,0.0,60,70,,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_CoolMaster_Silencio_S600,Cooler Master Silencio S600,Cooler Master Silencio S600
Case,Cooler Master,Silencio S600 - Window,,Y,130,43,31,30,1.13,PC,,,Mid Tower,Y,Y,Y,,,,Y,,2,2,180.0,398,166,,Y,,,2,Cooler Master SILENCIO FP 120 PWM,,,,,,,,,0.0,60,70,,v1_13_0/Prefabs/Cases/CoolerMaster/CAS_CoolMaster_Silencio_S600_GlassSwap,Cooler Master Silencio S600 - Window,Cooler Master Silencio S600 - Window
Case,CORSAIR,Carbide Series 175R RGB,,Y,85,28,21,1,1.6,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,180.0,330,160,Y,Y,,,1,CORSAIR LL120 RGB LED,,,,,,,,,0.0,35,50,,Prefabs/Cases/Corsair/CAS_Corsair_Carbide_175R_RGB,CORSAIR Carbide Series 175R RGB,CORSAIR Carbide Series 175R RGB
Case,CORSAIR,Carbide Series 275R (Black),,Y,80,27,13,70,1.0,,,White,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,370,170,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,66,,Prefabs/Cases/Corsair/Corsair_Carbide_275R,CORSAIR Carbide Series 275R (Black),CORSAIR Carbide Series 275R (Black)
Case,CORSAIR,Carbide Series 275R (White),,Y,80,27,13,70,1.0,,,White,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,370,170,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,66,,Prefabs/Cases/Corsair/Corsair_Carbide_275R_white,CORSAIR Carbide Series 275R (White),CORSAIR Carbide Series 275R (White)
Case,CORSAIR,Carbide Series Air 740,,Y,280,93,21,1,1.0,,,,Cube,Y,Y,Y,,,,Y,,3,2,225.0,330,170,,Y,,,3,Mortoni Heat Away 140,,,,,,,,,0.0,21,259,Exclude,Prefabs/Cases/Corsair/Corsair_Carbide_Air_740,CORSAIR Carbide Series Air 740,CORSAIR Carbide Series Air 740
Case,CORSAIR,Carbide Series SPEC-DELTA RGB,,Y,90,30,26,32,1.3,PC,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,330,160,,Y,,,1,CORSAIR ML120,,3.0,CORSAIR LL120 RGB LED,,,,,,0.0,130,-40,Exclude,Prefabs/Cases/Corsair/CAS_Corsair_Carbide_Series_SPEC_DELTA_RGB,CORSAIR Carbide Series SPEC-DELTA RGB,CORSAIR Carbide Series SPEC-DELTA RGB
Case,CORSAIR,Carbide Series SPEC-OMEGA (Black),,Y,100,33,23,1,1.0,,,Red,Mid Tower,Y,Y,Y,,,,Y,,3,2,200.0,370,170,,Y,,,2,CORSAIR ML120,,,,,,,,,0.0,50,50,Exclude,Prefabs/Cases/Corsair/Corsair_SPEC_OMEGA_Black,CORSAIR Carbide Series SPEC-OMEGA (Black),CORSAIR Carbide Series SPEC-OMEGA (Black)
Case,CORSAIR,Carbide Series SPEC-OMEGA (Black/Red),,Y,100,33,23,1,1.0,,,Red,Mid Tower,Y,Y,Y,,,,Y,,3,2,200.0,370,170,,Y,,,2,CORSAIR ML120,,,,,,,,,0.0,50,50,Exclude,Prefabs/Cases/Corsair/Corsair_SPEC_OMEGA,CORSAIR Carbide Series SPEC-OMEGA (Black/Red),CORSAIR Carbide Series SPEC-OMEGA (Black/Red)
Case,CORSAIR,Carbide Series SPEC-OMEGA (Black/White),,Y,100,33,23,1,1.0,,,White,Mid Tower,Y,Y,Y,,,,Y,,3,2,200.0,370,170,,Y,,,2,CORSAIR ML120,,,,,,,,,0.0,50,50,Exclude,Prefabs/Cases/Corsair/Corsair_SPEC_OMEGA_White,CORSAIR Carbide Series SPEC-OMEGA (Black/White),CORSAIR Carbide Series SPEC-OMEGA (Black/White)
Case,CORSAIR,Carbide SPEC-06 RGB (Black),,Y,100,33,23,30,1.3,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,180.0,370,170,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,86,,Prefabs/Cases/Corsair/CAS_Corsair_Carbide_SPEC-06_RGB,CORSAIR Carbide SPEC-06 RGB (Black),CORSAIR Carbide SPEC-06 RGB (Black)
Case,CORSAIR,Carbide SPEC-06 RGB (White),,Y,100,33,23,30,1.3,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,180.0,370,170,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,86,,Prefabs/Cases/Corsair/CAS_Corsair_Carbide_SPEC-06_RGB_White,CORSAIR Carbide SPEC-06 RGB (White),CORSAIR Carbide SPEC-06 RGB (White)
Case,CORSAIR,Crystal Series 280X RGB (Black),,Y,160,53,26,30,1.3,PC,,RGB,Micro,Y,Y,,,,,Y,,2,2,180.0,300,150,,,,,2,CORSAIR LL120 RGB LED,,,,,,,,,0.0,70,90,Exclude,Prefabs/Cases/Corsair/CAS_Corsair_Crystal_Series_280X_Black,CORSAIR Crystal Series 280X RGB (Black),CORSAIR Crystal Series 280X RGB (Black)
Case,CORSAIR,Crystal Series 280X RGB (White),,Y,160,53,26,30,1.3,PC,,RGB,Micro,Y,Y,,,,,Y,,2,2,180.0,300,150,,,,,2,CORSAIR LL120 RGB LED,,,,,,,,,0.0,70,90,Exclude,Prefabs/Cases/Corsair/CAS_Corsair_Crystal_Series_280X,CORSAIR Crystal Series 280X RGB (White),CORSAIR Crystal Series 280X RGB (White)
Case,CORSAIR,Crystal Series 570X RGB,,Y,180,60,24,33,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,2,225.0,370,170,,Y,,,3,CORSAIR SP120 RGB LED,,,,,,,,,0.0,105,75,,Prefabs/Cases/Corsair/Case_Corsair_570x_RGB,CORSAIR Crystal Series 570X RGB,CORSAIR Crystal Series 570X RGB
Case,CORSAIR,Graphite Series 380T (Black),,Y,110,37,23,30,1.2,,,,Cube,Y,,,,,,Y,,2,0,180.0,290,150,,,,,1,CORSAIR ML120,,1.0,CORSAIR LL140 RGB LED,,,,,,0.0,63,47,Exclude,Prefabs/Cases/Corsair/CAS_Corsair_GraphiteSeries_380T_Black,CORSAIR Graphite Series 380T (Black),CORSAIR Graphite Series 380T (Black)
Case,CORSAIR,Graphite Series 380T (White),,Y,110,37,23,30,1.2,,,,Cube,Y,,,,,,Y,,2,0,180.0,290,150,,,,,1,CORSAIR ML120,,1.0,CORSAIR LL140 RGB LED,,,,,,0.0,63,47,,Prefabs/Cases/Corsair/CAS_Corsair_GraphiteSeries_380T_White,CORSAIR Graphite Series 380T (White),CORSAIR Graphite Series 380T (White)
Case,CORSAIR,Graphite Series 380T (Yellow),,Y,110,37,23,30,1.2,,,,Cube,Y,,,,,,Y,,2,0,180.0,290,150,,,,,1,CORSAIR ML120,,1.0,CORSAIR LL140 RGB LED,,,,,,0.0,63,47,,Prefabs/Cases/Corsair/CAS_Corsair_GraphiteSeries_380T_Yellow,CORSAIR Graphite Series 380T (Yellow),CORSAIR Graphite Series 380T (Yellow)
Case,CORSAIR,iCUE 220T RGB Airflow (Black),,Y,120,40,23,20,1.7,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,300,160,,Y,,,3,CORSAIR LL120 RGB LED,,,,,,,,,0.0,105,15,Exclude,v1_7_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_220T_RGB_Airflow_Black,CORSAIR iCUE 220T RGB Airflow (Black),CORSAIR iCUE 220T RGB Airflow (Black)
Case,CORSAIR,iCUE 220T RGB Airflow (White),,Y,120,40,23,20,1.7,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,300,160,,Y,,,3,CORSAIR LL120 RGB LED,,,,,,,,,0.0,105,15,Exclude,v1_7_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_220T_RGB_Airflow_White,CORSAIR iCUE 220T RGB Airflow (White),CORSAIR iCUE 220T RGB Airflow (White)
Case,CORSAIR,iCUE 220T RGB TG (Black),,Y,140,47,23,20,1.14,PC,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,300,160,,Y,,,3,CORSAIR LL120 RGB LED,,,,,,,,,0.0,105,35,Exclude,v1_14_0/Prefabs/Cases/Corsair/CAS_iCUE_220T_RGB_Tempered_Glass_MidTower_Smart_Case_Black_MS,CORSAIR iCUE 220T RGB TG (Black),CORSAIR iCUE 220T RGB TG (Black)
Case,CORSAIR,iCUE 220T RGB TG (White),,Y,140,47,23,20,1.14,PC,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,2,180.0,300,160,,Y,,,3,CORSAIR LL120 RGB LED,,,,,,,,,0.0,105,35,Exclude,v1_14_0/Prefabs/Cases/Corsair/CAS_iCUE_220T_RGB_Tempered_Glass_MidTower_Smart_Case_White_MS,CORSAIR iCUE 220T RGB TG (White),CORSAIR iCUE 220T RGB TG (White)
Case,CORSAIR,iCUE 5000D (Black),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,2,CORSAIR SP120 (Black),,,,,,,,,0.0,40,140,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000D,CORSAIR iCUE 5000D (Black),CORSAIR iCUE 5000D (Black)
Case,CORSAIR,iCUE 5000D (White),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,2,CORSAIR SP120 (White),,,,,,,,,0.0,40,140,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000D_White_MS,CORSAIR iCUE 5000D (White),CORSAIR iCUE 5000D (White)
Case,CORSAIR,iCUE 5000D Airflow (Black),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,2,CORSAIR SP120 (Black),,,,,,,,,0.0,40,140,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000D_AirFlow,CORSAIR iCUE 5000D Airflow (Black),CORSAIR iCUE 5000D Airflow (Black)
Case,CORSAIR,iCUE 5000D Airflow (White),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,2,CORSAIR SP120 (White),,,,,,,,,0.0,40,140,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000D_AirFlowWhite_MS,CORSAIR iCUE 5000D Airflow (White),CORSAIR iCUE 5000D Airflow (White)
Case,CORSAIR,iCUE 5000T,,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,3,CORSAIR LL120 RGB LED,,,,,,,,,0.0,105,75,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_iCUE_5000T,CORSAIR iCUE 5000T,CORSAIR iCUE 5000T
Case,CORSAIR,iCUE 5000T (White),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,3,CORSAIR LL120 RGB LED (White),,,,,,,,,0.0,105,75,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_iCUE_5000T_WHITE_MS,CORSAIR iCUE 5000T (White),CORSAIR iCUE 5000T (White)
Case,CORSAIR,iCUE 5000X RGB (Black),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,3,CORSAIR SP120 RGB Elite (Black),,,,,,,,,0.0,75,105,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000X_RGB,CORSAIR iCUE 5000X RGB (Black),CORSAIR iCUE 5000X RGB (Black)
Case,CORSAIR,iCUE 5000X RGB (White),,Y,180,60,28,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,3,CORSAIR SP120 RGB Elite (White),,,,,,,,,0.0,75,105,Exclude,v1_15_0/Prefabs/Cases/Corsair/CAS_Corsair_iCUE_5000X_RGB_White_MS,CORSAIR iCUE 5000X RGB (White),CORSAIR iCUE 5000X RGB (White)
Case,CORSAIR,MENU iCUE 5000D Airflow (White),,,0,0,0,1,1.15,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,250.0,400,170,,Y,,,3,CORSAIR SP120 RGB Elite (Black),,,,,,,,,0.0,75,-75,Exclude,v1_15_0/Prefabs/Cases/Corsair/MENU_CAS_Corsair_iCUE_5000X_RGB,CORSAIR MENU iCUE 5000D Airflow (White),CORSAIR MENU iCUE 5000D Airflow (White)
Case,CORSAIR,Obsidian Series 1000D,,Y,500,167,8,80,1.3,PC,,RGB,Super Tower,Y,Y,Y,Y,,,Y,,4,3,225.0,400,180,,Y,,,0,,,,,,,,,,0.0,0,500,Exclude,Prefabs/Cases/Corsair/CAS_Corsair_ObsidianSeries_1000D,CORSAIR Obsidian Series 1000D,CORSAIR Obsidian Series 1000D
Case,CORSAIR,Obsidian Series 500D,,Y,150,50,21,1,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,225.0,370,170,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,136,,Prefabs/Cases/Corsair/Corsair_Obsidian_500D,CORSAIR Obsidian Series 500D,CORSAIR Obsidian Series 500D
Case,CORSAIR,Obsidian Series 750D,,Y,160,53,8,40,1.2,,,,Full Tower,Y,Y,Y,Y,,,Y,,3,3,220.0,450,170,,Y,,,3,CORSAIR ML140,,,,,,,,,0.0,84,76,,Prefabs/Cases/Corsair/CAS_Corsair_ObsidianSeries_750D,CORSAIR Obsidian Series 750D,CORSAIR Obsidian Series 750D
Case,CORSAIR,Obsidian Series 900D,,Y,360,120,8,60,1.3,PC,,,Super Tower,Y,Y,Y,Y,,,Y,,4,3,280.0,500,170,,Y,,,4,CORSAIR ML120,,,,,,,,,0.0,100,260,,Prefabs/Cases/Corsair/CAS_Corsair_ObsidianSeries_900D,CORSAIR Obsidian Series 900D,CORSAIR Obsidian Series 900D
Case,Deepcool,EARLKASE RGB,,Y,85,28,17,1,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,2,2,200.0,340,165,,Y,,,1,Deepcool RF 120,,1.0,Mortoni Heat Away 120,,,,,,0.0,27,58,Exclude,Prefabs/Cases/Deepcool/Deepcool_Earlkase_Black,Deepcool EARLKASE RGB,Deepcool EARLKASE RGB
Case,Deepcool,EARLKASE RGB WH,,Y,85,28,17,1,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,2,2,200.0,340,165,,Y,,,1,Deepcool RF 120,,1.0,Mortoni Heat Away 120,,,,,,0.0,27,58,Exclude,Prefabs/Cases/Deepcool/Deepcool_Earlkase_WH,Deepcool EARLKASE RGB WH,Deepcool EARLKASE RGB WH
Case,Deepcool,MATREXX 55,,Y,50,17,10,1,1.0,,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,1,170.0,370,168,,Y,,,0,,,,,,,,,,0.0,0,50,Exclude,Prefabs/Cases/Deepcool/Deepcool_Matrexx_55,Deepcool MATREXX 55,Deepcool MATREXX 55
Case,EVGA,DG-73,,Y,90,30,28,1,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,76,Exclude,Prefabs/Cases/EVGA/EVGA_DG_73,EVGA DG-73,EVGA DG-73
Case,EVGA,DG-75 (Black),,Y,110,37,28,15,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,96,Exclude,Prefabs/Cases/EVGA/EVGA_DG_75_Black,EVGA DG-75 (Black),EVGA DG-75 (Black)
Case,EVGA,DG-75 (White),,Y,120,40,28,15,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,106,Exclude,Prefabs/Cases/EVGA/EVGA_DG_75_White,EVGA DG-75 (White),EVGA DG-75 (White)
Case,EVGA,DG-76 (Black),,Y,140,47,28,35,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,3,Mortoni Heat Away 120,,,,,,,,,0.0,21,119,Exclude,Prefabs/Cases/EVGA/EVGA_DG_76,EVGA DG-76 (Black),EVGA DG-76 (Black)
Case,EVGA,DG-76 (White),,Y,150,50,28,35,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,3,Mortoni Heat Away 120,,,,,,,,,0.0,21,129,Exclude,Prefabs/Cases/EVGA/EVGA_DG_76_White,EVGA DG-76 (White),EVGA DG-76 (White)
Case,EVGA,DG-77 (Black),,Y,160,53,28,55,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,3,Mortoni Heat Away 120,,,,,,,,,0.0,21,139,Exclude,Prefabs/Cases/EVGA/EVGA_DG_77,EVGA DG-77 (Black),EVGA DG-77 (Black)
Case,EVGA,DG-77 (White),,Y,170,57,28,55,1.0,,,RGB,Mid Tower,Y,Y,Y,,,,Y,,3,1,250.0,390,165,,Y,,,3,Mortoni Heat Away 120,,,,,,,,,0.0,21,149,Exclude,Prefabs/Cases/EVGA/EVGA_DG_77_White,EVGA DG-77 (White),EVGA DG-77 (White)
Case,EVGA,DG-84 Full Tower,,Y,150,50,18,1,1.0,,,White,Full Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,350,175,,Y,,,0,,,,,,,,,,0.0,0,150,Exclude,Prefabs/Cases/EVGA/EVGA_DG_84,EVGA DG-84 Full Tower,EVGA DG-84 Full Tower
Case,EVGA,DG-85 Full Tower,,Y,200,67,18,25,1.0,,,White,Full Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,350,175,,Y,,,0,,,,,,,,,,0.0,0,200,Exclude,Prefabs/Cases/EVGA/EVGA_DG_85,EVGA DG-85 Full Tower,EVGA DG-85 Full Tower
Case,EVGA,DG-86 Full Tower,,Y,220,73,18,50,1.0,,,White,Full Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,350,175,,Y,,,4,Mortoni Heat Away 140,,,,,,,,,0.0,28,192,Exclude,Prefabs/Cases/EVGA/EVGA_DG_86,EVGA DG-86 Full Tower,EVGA DG-86 Full Tower
Case,EVGA,DG-87 Full Tower,,Y,240,80,18,75,1.0,,,White,Full Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,350,175,,Y,,,5,Mortoni Heat Away 140,,,,,,,,,0.0,35,205,Exclude,Prefabs/Cases/EVGA/EVGA_DG_87,EVGA DG-87 Full Tower,EVGA DG-87 Full Tower
